0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:39:14 +0800] "GET / HTTP/1.1" 200 1339
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:39:15 +0800] "GET /verifyUtil.do HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:39:24 +0800] "POST /login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:39:24 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:39:26 +0800] "GET /student/course/look.do HTTP/1.1" 500 516
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:40:34 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:40:34 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:40:35 +0800] "GET /student/course/look.do HTTP/1.1" 500 516
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:41:48 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:41:48 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:41:48 +0800] "GET /student/course/look.do HTTP/1.1" 500 516
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:42:55 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:42:55 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:42:55 +0800] "GET /student/course/look.do HTTP/1.1" 500 516
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:43:40 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
